Alpinweiß
alufarbig
anthrazit
Anthrazit
Anthrazith
Antik
Antik-Finsh
Antik-Look
Antik-Schwarz
Antikgrün
Antikweiß
Apfelgrün
Aqua
Avocado
Babyblau
basalt
bedruckt
Beige
Beige/Schwarz
Beine
Bernstein
Betongrau
Blau
Blau-Braun
Blaugrau
Blue
Bordeaux
Braun
BraunBeige
BraunSchwarz
braunweiß
Brilliantblau
Brombeer
Brombeere
Brown
bunt
Bunt
Cappuccino
Champagner
Chrom
coffee
Cognac
Creme
Cremefarbig
CremeRot
Cremeweiß
Cubanit
Curry
Cyclam
Druckstoff
Dunkel
Dunkelblau
Dunkelbraun
Dunkelgrau
Dunkelgrün
Dunkellila
Dunkelrot
edelstahlfarbig
Edelstahloptik
Elfenbein
Espresso
Fango
farbig
Flieder
Fuchsia
gebeizt
Geblümt
gebürstet
Gelb
gelbrosa
gelbschwarz
geölt
Geräuchert
gesmoked
geweißt
Glanz
glänzend
Gold
Gold-Schwarz
Goldfarben
goldfarbenen
Granit
Graphit
Grau
Grau-Braun
Graublau
Graubraun
Grausilber
Grün
grün
Grüngrau
grünrot
Havanna
hell
Hellbeige
Hellblau
Hellbraun
Hellgrau
Hellgrün
hellgrünrot
Himbeere
Hochglanz
hochglänzend
Holzfarben
Honigbraun
Honigfarben
Industrial
Iridiumsilber
Jeansblau
Kaffeebraun
Kaminrot
kariert
Kaschmir
Khaki
Kirschbaum-Farbe
Kirschrot
Klarglasweiß
kobaltblau
Kohle
Kolonial
Koralle
Kupfer
lackiert
lasiert
Laugenfarbig
Lava
lavagrau
Lavendel
Lichtblau
Lila
Limengrün
Limettengrün
Magenta
Maisgelb
Mango
Marineblau
Maronenbraun
Matt
Matt-Weiß
mattweiß
Mauve
Meerblau
Meeresgrün
Mehrfarbig
mehrfarbigen
meliert
Messing
Metallfarben
Metallisch
Metropolen
Mint
Mintgrün
Mittelbraun
Mocca
modern
Mokka
Multicolor
Muster
natur
Naturfarben
Naturweiß
Neon
Nougat
Oceanblau
Ocker
Olivgrün
Orange
Pastellapricot
Pastellgrün
Pastellrot
Patchwork
perlsilberfarbig
Petrol
Pflaume
Pinie
Pink
pink
Pistaziengrün
Print
Rosa
Rosa/Beige
Rose
Rostbraun
Rot
Rot-Braun
RotWeiß
rustikal
rustiko
Sand
Sandgrau
Schiefer
Schlamm
Schneeweiß
Schokobraun
Schwarz
Schwarz-Weiß
schwarzbraun
SchwarzGrau
Senfgelb
Sheesham
Silber
Silbergrau
Softmatt
Solinograu
Sonnengelb
Stahlblau
Steingrau
Stone
Struktur
Strukturweiß
Tabakbraun
taubengrau
Taupe
Terracotta
Terrakotta
Tiefrot
Titan-Silber
Transparent
Trüffel
Türkis
TürkisBlau
Türkisgrün
Vintage
Vintage-Stil
Vintage-weiß
Vintageeffekt
Violett
washed
Weinrot
Weiss
Weiß
weiß
WeissBeige
WeißBraun
WeißGold
WeißKiefer
weißlavagrau
WeißNatur
Weißöl
WeißSilber
Wengefarben
White
white
